Altcoin,Label,Price,Mkt_Cap_BTC,Mkt_Cap_USD,Trdg_Vol_Day,Trdg_Vol_Week,Trdg_Vol_Month,Inflation_in_BTC_Day,Inflation_in_USD_Day,Inflation_in_BTC_Week,Inflation_in_USD_Week,Inflation_in_BTC_Month,Inflation_in_USD_Month,,,,,,,,
,,,,,Day,Week,Month,Day,"Day, $",Week,"Week, $",Month,"Month, $",3-Month,"3-Month, $",6-Month,"6-Month, $",Year,"Year, $","1-Month
inflation,%",Launch
Wings,WINGS,0.00011204,11204,154188216,4952170,30552145,86706434,-6.73%,-5.98%,+31.12%,+19.22%,+212.61%,+122.35%,-32.93%,+64.04%,-52.53%,+181.54%,-17.50%,+1172.45%,0,2017
Storj,STORJ,0,0,0,0,0,0,+0%,+0%,+0%,+0%,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,26.34,2016
Stratis,STRAT,0.001555,159699,2197753190,9202611,72682307,365044919,+17.99%,+18.94%,+13.04%,+2.78%,+171.55%,+93.15%,+202.98%,+640.96%,+5.62%,+526.33%,-63.92%,+456.44%,0.04,2016
Golem,GNT,7.131E-05,71310,981360376,2478183,18530793,137515873,+6.35%,+7.21%,-4.23%,-12.92%,+206.31%,+117.88%,+99.8%,+388.64%,-40.57%,+252.44%,+229.68%,+4984.65%,0.15,2016
Reddcoin,RDD,1.3E-06,45500,626165995,10214875,368860892,1627984945,-1.52%,-0.72%,+3.17%,-6.18%,+1200%,+824.66%,+420%,+1171.72%,+42.86%,+747.18%,+4233.33%,+66732.74%,0.1,2014
Viacoin,VIA,0.00045185,10393,143021130,3264324,26266735,101949555,+1.88%,+2.71%,-5.49%,-14.06%,+198.13%,+112.06%,+155.79%,+525.56%,+51.44%,+798.11%,+1093.79%,+18311.77%,0.14,2014
Vericoin,VRC,0.00013776,4870,67021635,5144012,61128381,160460738,-7.77%,-7.03%,+44.98%,+31.83%,+181.26%,+100.05%,+129.68%,+461.7%,+42.64%,+745.88%,+535.13%,+9695.59%,0.24,2014
Vertcoin,VTC,0.0004231,35540,489103075,4398673,68249654,561319178,-3.43%,-2.65%,-7.31%,-15.72%,-0.11%,-28.95%,+51.37%,+270.18%,+143.62%,+1344.75%,+1182.12%,+19674.08%,0.98,2014
Monero,XMR,0.02908298,535127,7364356598,21002400,251315077,1483460540,-2.07%,-1.28%,+3.64%,-5.76%,+61.57%,+14.92%,+71.81%,+320.17%,+76.51%,+946.78%,+97.84%,+2951.33%,0.79,2014
Startcoin,START,2.332E-05,1466,20178495,668705,11070965,25703544,-16.95%,-16.28%,+65.39%,+50.39%,+331.05%,+206.6%,+165%,+548.09%,+90.21%,+1028.01%,+79.38%,+2666.64%,0,2014
Unobtanium,UNO,0,0,0,0,0,0,+0%,+0%,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,-100%,-100%,0.07,2014
Rise,RISE,7.65E-05,7650,105278459,6233708,51174167,347523194,+4.54%,+5.38%,+3.13%,-6.23%,+215.99%,+124.75%,-30.82%,+69.19%,+166.46%,+1480.17%,+2197.3%,+35331.08%,0,2015
Waves,WAVES,0.00078599,78599,1081670792,5268203,71422079,649900853,-4.86%,-4.09%,-5.30%,-13.89%,+35.6%,-3.55%,-20.73%,+93.85%,-63.27%,+117.81%,+151.02%,+3771.45%,0,2016
Gulden,NLG,3.155E-05,13774,189550080,1839664,5988183,24122095,+49.67%,+50.88%,+83.43%,+66.79%,+384.64%,+244.71%,+3.41%,+152.9%,-17.88%,+386.99%,-6.93%,+1335.38%,9,2014
